

type,id,name,customer_name,vendor_name,amount,issue_date,due_date,paid_date,status,category,expected_days,actual_days,chased,invoice_id,industry,region,size_bracket
customer,,Rahul Enterprises,,,,,,,,,,,,,retail,west,small
customer,,Meera Traders,,,,,,,,,,,,,services,south,small
customer,,Suresh & Sons,,,,,,,,,,,,,manufacturing,north,medium
customer,,Priya Tech,,,,,,,,,,,,,tech,west,small
customer,,Kavita Exports,,,,,,,,,,,,,exports,west,medium
customer,,Amit Wholesale,,,,,,,,,,,,,wholesale,east,small
customer,,Sanjay Industries,,,,,,,,,,,,,manufacturing,south,medium
customer,,Deepa Retail,,,,,,,,,,,,,retail,north,small
vendor,,Office Supplies Co,,,,,,,fixed,,,,,,,,
vendor,,Logistics Partner,,,,,,,fixed,,,,,,,,
vendor,,Cloud Services,,,,,,,fixed,,,,,,,,
vendor,,Marketing Agency,,,,,,,discretionary,,,,,,,,
vendor,,Equipment Rental,,,,,,,discretionary,,,,,,,,
vendor,,Utilities Board,,,,,,,fixed,,,,,,,,
invoice,101,,,Rahul Enterprises,,75000,2026-07-15,2026-08-14,,,unpaid,product,,,,,
invoice,102,,,Meera Traders,,42000,2026-07-20,2026-08-19,,,unpaid,service,,,,,
invoice,103,,,Suresh & Sons,,98000,2026-07-10,2026-08-09,,,overdue,product,,,,,
invoice,104,,,Priya Tech,,31000,2026-08-01,2026-08-31,,,unpaid,service,,,,,
invoice,105,,,Kavita Exports,,120000,2026-07-25,2026-08-24,,,overdue,product,,,,,
invoice,106,,,Amit Wholesale,,55000,2026-08-05,2026-09-04,,,unpaid,product,,,,,
invoice,107,,,Sanjay Industries,,67000,2026-07-28,2026-08-27,,,overdue,service,,,,,
invoice,108,,,Deepa Retail,,89000,2026-07-01,2026-07-31,,,overdue,product,,,,,
invoice,109,,,Rahul Enterprises,,45000,2026-08-10,2026-09-09,,,unpaid,product,,,,,
invoice,110,,,Meera Traders,,28000,2026-08-12,2026-09-11,,,unpaid,service,,,,,
invoice,111,,,Suresh & Sons,,73000,2026-08-08,2026-09-07,,,unpaid,product,,,,,
invoice,112,,,Deepa Retail,,62000,2026-08-03,2026-09-02,,,overdue,product,,,,,
payable,201,,,,32000,2026-09-05,,,pending,fixed,Office Supplies Co,,,,,
payable,202,,,,85000,2026-09-10,,,pending,fixed,Logistics Partner,,,,,
payable,203,,,,18000,2026-09-15,,,pending,fixed,Cloud Services,,,,,
payable,204,,,,25000,2026-09-20,,,pending,discretionary,Marketing Agency,,,,,
payable,205,,,,12000,2026-09-25,,,pending,discretionary,Equipment Rental,,,,,
payable,206,,,,8500,2026-09-07,,,pending,fixed,Utilities Board,,,,,
payable,207,,,,95000,2026-09-30,,,pending,fixed,Logistics Partner,,,,,
payable,208,,,,15000,2026-10-05,,,pending,discretionary,Marketing Agency,,,,,
payment,,,Rahul Enterprises,,75000,2026-04-01,,,paid,product,30,52,1,50,,,
payment,,,Rahul Enterprises,,60000,2026-03-01,,,paid,product,30,48,0,49,,,
payment,,,Rahul Enterprises,,82000,2026-02-01,,,paid,product,30,55,1,48,,,
payment,,,Rahul Enterprises,,40000,2026-01-05,,,paid,product,30,44,0,47,,,
payment,,,Rahul Enterprises,,95000,2025-12-01,,,paid,product,30,60,1,46,,,
payment,,,Rahul Enterprises,,33000,2025-11-01,,,paid,product,30,50,0,45,,,
payment,,,Meera Traders,,38000,2026-04-01,,,paid,service,30,29,0,44,,,
payment,,,Meera Traders,,52000,2026-03-01,,,paid,service,30,31,0,43,,,
payment,,,Meera Traders,,47000,2026-02-01,,,paid,service,30,28,0,42,,,
payment,,,Meera Traders,,61000,2026-01-05,,,paid,service,30,30,0,41,,,
payment,,,Meera Traders,,29000,2025-12-01,,,paid,service,30,32,0,40,,,
payment,,,Meera Traders,,44000,2025-11-01,,,paid,service,30,27,0,39,,,
payment,,,Suresh & Sons,,88000,2026-04-01,,,paid,product,30,41,0,38,,,
payment,,,Suresh & Sons,,56000,2026-03-01,,,paid,product,30,25,0,37,,,
payment,,,Suresh & Sons,,102000,2026-02-01,,,paid,product,30,67,1,36,,,
payment,,,Suresh & Sons,,39000,2026-01-05,,,paid,product,30,33,0,35,,,
payment,,,Suresh & Sons,,74000,2025-12-01,,,paid,product,30,18,0,34,,,
payment,,,Priya Tech,,28000,2026-04-01,,,paid,service,30,26,0,33,,,
payment,,,Priya Tech,,35000,2026-03-01,,,paid,service,30,24,0,32,,,
payment,,,Priya Tech,,41000,2026-02-01,,,paid,service,30,28,0,31,,,
payment,,,Priya Tech,,19000,2026-01-05,,,paid,service,30,25,0,30,,,
payment,,,Kavita Exports,,115000,2026-04-01,,,paid,product,30,38,0,29,,,
payment,,,Kavita Exports,,93000,2026-03-01,,,paid,product,30,35,1,28,,,
payment,,,Kavita Exports,,78000,2026-02-01,,,paid,product,30,42,0,27,,,
payment,,,Kavita Exports,,130000,2025-11-01,,,paid,product,30,55,1,26,,,
payment,,,Kavita Exports,,110000,2025-10-01,,,paid,product,30,51,0,25,,,
payment,,,Sanjay Industries,,64000,2026-04-01,,,paid,service,30,37,0,24,,,
payment,,,Sanjay Industries,,48000,2026-03-01,,,paid,service,30,40,1,23,,,
payment,,,Sanjay Industries,,71000,2026-02-01,,,paid,service,30,33,0,22,,,
